Date,Not indexed,Indexed,Impressions
2026-06-09,,,0
2026-06-10,,,0
2026-06-11,,,0
2026-06-12,7,3,1
2026-06-13,9,1,4
2026-06-14,9,1,0
2026-06-15,9,1,1
2026-06-16,9,1,3
2026-06-17,9,1,0
2026-06-18,9,1,0
2026-06-19,9,1,0
2026-06-20,9,1,1
2026-06-21,9,1,2
2026-06-22,9,1,1
2026-06-23,9,1,1
2026-06-24,9,1,1
2026-06-25,9,1,4
2026-06-26,9,1,3
2026-06-27,9,1,3
2026-06-28,9,1,2
2026-06-29,9,1,13
2026-06-30,9,1,1
